decile,pred,actual,n,year
1,0.2857831101226156,0.2805560681552562,16257,2014
2,0.2112696566289814,0.2157224580180845,16257,2014
3,0.17760873050294326,0.1796149351048779,16257,2014
4,0.15360406859273912,0.15599434089930492,16257,2014
5,0.13397374979388596,0.12868302884911115,16257,2014
6,0.11658598151213177,0.12093252137540751,16257,2014
7,0.10024846933774227,0.09798855877468167,16257,2014
8,0.08396941038221427,0.08857722827089869,16257,2014
9,0.06662092316075062,0.06440302638863259,16257,2014
10,0.042941420373620066,0.040167312542289474,16257,2014
1,0.28777787293263396,0.3029485049833887,28896,2015
2,0.21152761159981964,0.2355669735245843,28026,2015
3,0.1775385997540878,0.19723094907576533,27374,2015
4,0.15358581205173139,0.17452181987000928,26925,2015
5,0.1339677722889296,0.14546247184480127,27526,2015
6,0.11656751359355998,0.13100084351047053,27267,2015
7,0.1001928228571564,0.11080048127963762,28258,2015
8,0.08396586819031153,0.09358788862617778,28337,2015
9,0.06654342785551194,0.07130476982806434,28848,2015
10,0.04259178766863528,0.03997592574994457,31569,2015
