,iv,status
fico,0.1351,keep
annual_inc,0.0817,keep
installment_to_income,0.0682,keep
acc_open_past_24mths,0.061,keep
dti,0.0524,keep
num_tl_op_past_12m,0.05,drop: correlated
mort_acc,0.0476,keep
loan_to_income,0.0446,drop: correlated
home_ownership,0.0428,keep
percent_bc_gt_75,0.0383,keep
bc_util,0.0309,drop: correlated
inq_last_6mths,0.029,keep
credit_age_months,0.0229,keep
verification_status,0.0216,keep
emp_length_yrs,0.0206,keep
revol_bal,0.0202,keep
purpose,0.0191,drop: low IV
revol_util,0.0178,drop: low IV
total_acc,0.0088,drop: low IV
loan_amnt,0.0071,drop: low IV
pub_rec,0.0039,drop: low IV
pub_rec_bankruptcies,0.0034,drop: low IV
delinq_2yrs,0.0024,drop: low IV
ever_delinq,0.0015,drop: low IV
open_acc,0.0004,drop: low IV
