通过率区间,新增客群坏账率,净收益变化 $K
70.0% -> 72.5%,0.15895669291338582,2235.667315190043
72.5% -> 75.0%,0.18257874015748032,2056.2693102387057
75.0% -> 77.5%,0.18356299212598426,1733.8697906336738
77.5% -> 80.0%,0.19335793357933578,1686.790440716193
80.0% -> 82.5%,0.19463582677165353,1945.652820609956
82.5% -> 85.0%,0.2111220472440945,1385.8654583103632
85.0% -> 87.5%,0.22071850393700787,1120.840486430975
87.5% -> 90.0%,0.23640836408364083,810.4579662647157
90.0% -> 92.5%,0.23769685039370078,1094.2560809912798
92.5% -> 95.0%,0.2672244094488189,370.8572084732899
95.0% -> 97.5%,0.28125,522.6738770210766
97.5% -> 100.0%,0.33603936039360394,-1162.2234754312915
