decile,n,avg_rate,bad_rate,pnl,principal,net_margin,rate_uplift_pp
1,28896,15.079595445736434,0.3029485049833887,-9546543.327263547,341716025.0,-0.02793706653723233,1.8624711024821554
2,28026,13.643825733247699,0.2355669735245843,-42246.34042956114,330307575.0,-0.00012790000480479788,0.008526666986986526
3,27374,12.879380433988455,0.19723094907576533,4043770.008301108,325028475.0,0.012441279208848112,0.0
4,26925,12.26242748375116,0.17452181987000928,5647079.059062313,324056425.0,0.017426221557132568,0.0
5,27526,11.661999927341423,0.14546247184480127,9548099.31734821,334468175.0,0.028547108607113996,0.0
6,27267,11.086125352990795,0.13100084351047053,9439345.466235915,341846950.0,0.02761278246371926,0.0
7,28258,10.477055347158327,0.11080048127963762,12128612.157817053,363987900.0,0.033321470735200406,0.0
8,28337,9.804854430603097,0.09358788862617778,13067011.283338295,382075600.0,0.03420006742994919,0.0
9,28848,8.907248682750971,0.07130476982806434,14334188.027333148,407743625.0,0.035154904083008406,0.0
10,31569,7.493148341727645,0.03997592574994457,15720250.463710014,473070050.0,0.03323028051281203,0.0
