variable,bin,woe,points
BASE,,,540
fico,"00: (-inf, 662.0]",-0.3636,-7
fico,"01: (662.0, 667.0]",-0.298,-6
fico,"02: (667.0, 672.0]",-0.2707,-5
fico,"03: (672.0, 682.0]",-0.1838,-3
fico,"04: (682.0, 687.0]",-0.0938,-2
fico,"05: (687.0, 692.0]",0.0406,1
fico,"06: (692.0, 702.0]",0.0933,2
fico,"07: (702.0, 717.0]",0.3119,6
fico,"08: (717.0, 737.0]",0.5859,11
fico,"09: (737.0, inf]",1.0009,19
annual_inc,"00: (-inf, 31288.100000000013]",-0.4752,-4
annual_inc,"01: (31288.100000000013, 40000.0]",-0.3026,-2
annual_inc,"02: (40000.0, 46500.0]",-0.144,-1
annual_inc,"03: (46500.0, 54000.0]",-0.0766,-1
annual_inc,"04: (54000.0, 60000.0]",-0.0123,0
annual_inc,"05: (60000.0, 70000.0]",0.075,1
annual_inc,"06: (70000.0, 80000.0]",0.1489,1
annual_inc,"07: (80000.0, 95000.0]",0.3098,2
annual_inc,"08: (95000.0, 120000.0]",0.3558,3
annual_inc,"09: (120000.0, inf]",0.4741,4
installment_to_income,"00: (-inf, 0.02867650443769676]",0.3799,8
installment_to_income,"01: (0.02867650443769676, 0.040428]",0.2241,5
installment_to_income,"02: (0.040428, 0.06129]",0.1879,4
installment_to_income,"03: (0.06129, 0.0838533333333333]",0.0725,2
installment_to_income,"04: (0.0838533333333333, 0.098202]",0.002,0
installment_to_income,"05: (0.098202, 0.1166165274725274]",-0.0606,-1
installment_to_income,"06: (0.1166165274725274, 0.14313753260869566]",-0.3152,-7
installment_to_income,"07: (0.14313753260869566, inf]",-0.5164,-11
acc_open_past_24mths,"00: (-inf, 1.0]",0.4154,11
acc_open_past_24mths,"01: (1.0, 2.0]",0.2658,7
acc_open_past_24mths,"02: (2.0, 3.0]",0.1042,3
acc_open_past_24mths,"03: (3.0, 4.0]",-0.0062,0
acc_open_past_24mths,"04: (4.0, 5.0]",-0.0762,-2
acc_open_past_24mths,"05: (5.0, 6.0]",-0.1459,-4
acc_open_past_24mths,"06: (6.0, 8.0]",-0.2394,-6
acc_open_past_24mths,"07: (8.0, inf]",-0.4564,-12
dti,"00: (-inf, 7.2]",0.2994,4
dti,"01: (7.2, 10.27]",0.2646,4
dti,"02: (10.27, 12.62]",0.2231,3
dti,"03: (12.62, 14.85]",0.1767,3
dti,"04: (14.85, 17.05]",0.0895,1
dti,"05: (17.05, 19.33]",0.0346,0
dti,"06: (19.33, 21.83]",-0.086,-1
dti,"07: (21.83, 24.84]",-0.1371,-2
dti,"08: (24.84, 28.65]",-0.2932,-4
dti,"09: (28.65, inf]",-0.3882,-6
mort_acc,"00: (-inf, 0.0]",-0.2159,-2
mort_acc,"01: (0.0, 1.0]",0.0359,0
mort_acc,"02: (1.0, 2.0]",0.1343,1
mort_acc,"03: (2.0, 3.0]",0.2275,2
mort_acc,"04: (3.0, 5.0]",0.3178,3
mort_acc,"05: (5.0, inf]",0.3898,4
home_ownership,MORTGAGE,0.232,3
home_ownership,OTHER,-0.7396,-9
home_ownership,OWN,-0.0584,-1
home_ownership,RENT,-0.2038,-3
percent_bc_gt_75,"00: (-inf, 0.0]",0.3205,6
percent_bc_gt_75,"01: (0.0, 10.0]",0.2242,4
percent_bc_gt_75,"02: (10.0, 25.0]",0.1909,4
percent_bc_gt_75,"03: (25.0, 33.3]",0.0821,2
percent_bc_gt_75,"04: (33.3, 50.0]",-0.0279,-1
percent_bc_gt_75,"05: (50.0, 66.7]",-0.07,-1
percent_bc_gt_75,"06: (66.7, 100.0]",-0.2171,-4
percent_bc_gt_75,MISSING,-0.1478,-3
inq_last_6mths,"00: (-inf, 0.0]",0.1509,3
inq_last_6mths,"01: (0.0, 1.0]",-0.0664,-1
inq_last_6mths,"02: (1.0, 2.0]",-0.2449,-5
inq_last_6mths,"03: (2.0, inf]",-0.3319,-7
credit_age_months,"00: (-inf, 96.0]",-0.3003,-3
credit_age_months,"01: (96.0, 124.0]",-0.1396,-1
credit_age_months,"02: (124.0, 144.0]",-0.0992,-1
credit_age_months,"03: (144.0, 178.0]",0.0056,0
credit_age_months,"04: (178.0, 200.0]",0.0313,0
credit_age_months,"05: (200.0, 227.0]",0.0318,0
credit_age_months,"06: (227.0, 323.0]",0.1781,2
credit_age_months,"07: (323.0, inf]",0.197,2
verification_status,Not Verified,0.196,3
verification_status,Source Verified,-0.0559,-1
verification_status,Verified,-0.1632,-3
emp_length_yrs,"00: (-inf, 1.0]",-0.0664,-1
emp_length_yrs,"01: (1.0, 2.0]",-0.0142,0
emp_length_yrs,"02: (2.0, 3.0]",-0.0092,0
emp_length_yrs,"03: (3.0, 5.0]",0.0057,0
emp_length_yrs,"04: (5.0, 6.0]",0.0071,0
emp_length_yrs,"05: (6.0, 8.0]",0.0183,0
emp_length_yrs,"06: (8.0, 10.0]",0.1217,2
emp_length_yrs,MISSING,-0.4623,-6
revol_bal,"00: (-inf, 3128.0]",-0.1387,-2
revol_bal,"01: (3128.0, 6447.0]",-0.1062,-2
revol_bal,"02: (6447.0, 8241.0]",-0.1005,-2
revol_bal,"03: (8241.0, 10314.0]",-0.059,-1
revol_bal,"04: (10314.0, 12859.0]",-0.0254,0
revol_bal,"05: (12859.0, 16167.0]",0.0312,0
revol_bal,"06: (16167.0, 21128.400000000023]",0.0416,1
revol_bal,"07: (21128.400000000023, 30495.20000000001]",0.1881,3
revol_bal,"08: (30495.20000000001, inf]",0.3497,5
